"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"58","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:09:41,FALSE,NA,"975690768122826752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rideinthehool",1049,TRUE,FALSE,NA,NA
"59","Selamlar,
Haftanın olayı klişe oldu ama Tolga'nın kaçırdığı gol golü atsa #Galatasaray için efsane olacaktı ama olm… https://t.co/YTvzR2XwDG",FALSE,0,NA,2018-03-19 11:09:25,TRUE,NA,"975690703807373313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HassunCevat",0,FALSE,FALSE,NA,NA
"60","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:07:38,FALSE,NA,"975690251577561088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sezercaliskaan",1049,TRUE,FALSE,NA,NA
"61","RT @UrfaliTinerciJK: #sinemiçinbağırıyoruz
#SinemİcinBağırıyoruz #Beşiktaş #Galatasaray #Fenerbahçe #Başakşehir @TFF_Org @TFFSuperLig @tine…",FALSE,0,NA,2018-03-19 11:07:18,FALSE,NA,"975690171202056193",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Speedrete",6,TRUE,FALSE,NA,NA
"62","RT @taka_fuck_me: 長友に鎧や侍の格好させたらガラタサライ公式がリツイートやふぁぼしてくるのか実験
#Galatasaray #nagatomo #nagatomoyuto #Türkiye https://t.co/VhMmWDuDbC",FALSE,0,NA,2018-03-19 11:07:05,FALSE,NA,"975690114826362880",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","momota0416",5,TRUE,FALSE,NA,NA
"63","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:06:46,FALSE,NA,"975690033368850434",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","turan8000",1049,TRUE,FALSE,NA,NA
"64","Selamlar iyi haftalar futbolun ahenki hattrick 
#Galatasaray yola nasıl devam eder ve etmeli ?
@alierim @mertelam @radyospor",FALSE,0,NA,2018-03-19 11:06:27,FALSE,NA,"975689954050367493",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HassunCevat",0,FALSE,FALSE,NA,NA
"65","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:05:30,FALSE,NA,"975689716296290305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","erenaydnturkey",1049,TRUE,FALSE,NA,NA
"66","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:03:59,FALSE,NA,"975689334450982913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","buseetecirli",1049,TRUE,FALSE,NA,NA
"67","RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8",FALSE,0,NA,2018-03-19 11:02:48,FALSE,NA,"975689035988553728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","omertelli067",1049,TRUE,FALSE,NA,NA
