,Text,favorited,favoriteCount,Date,truncated,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
123,"Teröristlerden temizlenmesi gereken ,Türkiye’nin oluşturmayı planladığı #GüvenliBölge

#ZeytinDalıHarekatı #Afrin https://t.co/A2bpXxlvMW",FALSE,0,2018-03-19 19:32:55,FALSE,9.75817411483066E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",siyah_stockings,0,FALSE,FALSE
124,"RT @AliCologne: Ethnische Säuberungen einer NATO Armee, die ein Nachbarland überfiel, gemeinsam mit Islamisten und ehemaliger IS Kämpfer si…",FALSE,0,2018-03-19 19:32:55,FALSE,9.75817410103202E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",principiante_ww,151,TRUE,FALSE
125,@Mexlumy's account has been withheld in Turkey in response to a legal demand. Learn more.,FALSE,0,2018-03-19 19:32:54,FALSE,9.75817407628562E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mexlumy,70,TRUE,FALSE
126,"RT @statedeptspox: We are deeply concerned by UN evacuation reports of up to 250,000 Kurds from #Afrin #Syria. We call on all relevant acto…",FALSE,0,2018-03-19 19:32:53,FALSE,9.75817403169956E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Newsroom07,77,TRUE,FALSE
127,"RT @AFADBaskanlik: #Afrin'e uzattığımız şefkat elini bırakmıyoruz.
AFAD Başkanı @mgulluoglu ve Türk Kızılayı Genel Müdürü @dr_ialtan öncülü…",FALSE,0,2018-03-19 19:32:53,FALSE,9.75817401739678E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AFADegitim,35,TRUE,FALSE
128,"RT @slmhktn: #Afrin’de, Türk Silahlı Kuvvetleri ile koordineli olarak Türk Kızılay’ı ve AFAD’ın insani yardım faaliyetleri devam ediyor.
#S…",FALSE,0,2018-03-19 19:32:52,FALSE,9.75817398304629E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",50cananSonmez,10,TRUE,FALSE
129,RT @SWagenknecht: Die Bundesregierung muss das Plündern und Morden in #Afrin klar verurteilen und umgehend ein Verbot der #FSA in Deutschla…,FALSE,0,2018-03-19 19:32:51,FALSE,9.75817393720226E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rolle5,54,TRUE,FALSE
130,"RT @AnjaFlach: #KDP hat nichts gelernt, heute hat Salih Müslim zur Einheit aufgerufen, aber schon wieder fallen Kurden Kurden in den Rücken…",FALSE,0,2018-03-19 19:32:48,FALSE,9.75817384081621E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Zanajiyan,8,TRUE,FALSE
131,"RT @ismail_kupeli: Menschenkette in #Duisburg für #Afrin 
https://t.co/E9ba2Fr2nI https://t.co/8iXX8WLGYi",FALSE,0,2018-03-19 19:32:48,FALSE,9.75817384069038E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",scheerenberger,16,TRUE,FALSE
132,"RT @eha_medya: Zeytin Dalı Harekatı kapsamında terör örgütü PKK/YPG'den temizlenen Afrin’de, Türk Silahlı Kuvvetleri ile koordineli olarak…",FALSE,0,2018-03-19 19:32:48,FALSE,9.75817382844395E+017,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",VolkanT16531719,2,TRUE,FALSE
