X,Text,favorited,favoriteCount,replyToSN,Date,truncated,replyToSID,id,replyToUID,statusSource,screen_name,retweetCount,isRetweet,retweeted,longitude,latitude,from_user,reply_to,users_mentioned,retweet_from,hashtags_used
30,"RT @HOUS__OF__LIONS: BİZ BABALAR'DAN BÖYLE GÖRDÜK..

#lidergalatasaray #LİDER #Galatasaray #GalatasaraySK #SaldırGALATASARAY #SenŞampiyonOl…",FALSE,0,NA,1521484748,FALSE,NA,975803876086607900,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nurialtnta1,19,TRUE,FALSE,NA,NA,nurialtnta1,NA,HOUS__OF__LIONS,HOUS__OF__LIONS,"c(""#lidergalatasaray"", ""#LİDER"", ""#Galatasaray"", ""#GalatasaraySK"", ""#SaldırGALATASARAY"", ""#SenŞ"")"
31,RT @clb1905: Bu tweeti RT yapip bizi (@clb1905) takip eden 4 kisiye Galatasaray-Trabzonspor maci icin ucretsiz bilet devri yapacagim. Kazan…,FALSE,0,NA,1521484714,FALSE,NA,975803734004465700,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Kahvederler,16,TRUE,FALSE,NA,NA,Kahvederler,NA,"c(""clb1905"", ""clb1905"")",clb1905,character(0)
32,RT @beINSPORTS_TR: Fatih Terimli #Galatasaray'ın 26. haftalar itibariyle topladığı puanlar ve şampiyonlukları... #beinfinal https://t.co/gV…,FALSE,0,NA,1521484696,FALSE,NA,975803658020454400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",berkancinar58,18,TRUE,FALSE,NA,NA,berkancinar58,NA,beINSPORTS_TR,beINSPORTS_TR,"c(""#Galatasaray'ın"", ""#beinfinal"")"
33,RT @sanliarma: Tudor şu anda yanlış Yerdesin Ağlama duvarına gitmelisin.... Şunu hiç bir zaman unutma #Galatasaray sana 40 Gömlek büyük gel…,FALSE,0,NA,1521484546,FALSE,NA,975803030363918300,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hasansuker,1,TRUE,FALSE,NA,NA,hasansuker,NA,sanliarma,sanliarma,#Galatasaray
34,RT @GalatasaraySK: Günaydın #Galatasaray Ailesi https://t.co/BB0LWOhbg8,FALSE,0,NA,1521484437,FALSE,NA,975802574296244200,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",A_ay026,1330,TRUE,FALSE,NA,NA,A_ay026,NA,GalatasaraySK,GalatasaraySK,#Galatasaray
35,Tudor şu anda yanlış Yerdesin Ağlama duvarına gitmelisin.... Şunu hiç bir zaman unutma #Galatasaray sana 40 Gömlek… https://t.co/KBS31YB6sm,FALSE,8,NA,1521484384,TRUE,NA,975802351285129200,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sanliarma,1,FALSE,FALSE,NA,NA,sanliarma,NA,character(0),NA,#Galatasaray
36,"40 sene önce buraya bir adam indi.. 
@fatihterim 
#Galatasaray #İmparator #Hedef21 https://t.co/uxccdnR9cr",FALSE,33,NA,1521484333,FALSE,NA,975802134330593300,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",selcuuktopuz,10,FALSE,FALSE,NA,NA,selcuuktopuz,NA,fatihterim,NA,"c(""#Galatasaray"", ""#İmparator"", ""#Hedef21"")"
37,Hayırda bu Siktiğimi Çıkarmanızdaki Amaç Ne #İbneTudor #GALATASARAY #Şampiyon https://t.co/EL3JeM1CkV,FALSE,0,NA,1521484308,FALSE,NA,975802033189085200,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mertbeyy001,0,FALSE,FALSE,NA,NA,mertbeyy001,NA,character(0),NA,"c(""#İbneTudor"", ""#GALATASARAY"", ""#Şampiyon"")"
38,RT @AslanArenasi: #Galatasaray https://t.co/ZWpuuC4w7m,FALSE,0,NA,1521484230,FALSE,NA,975801705253232600,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",habibeylmaz05,3,TRUE,FALSE,NA,NA,habibeylmaz05,NA,AslanArenasi,AslanArenasi,#Galatasaray
39,NA,FALSE,0,NA,1521484202,FALSE,NA,975801586114089e3,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",habibeylmaz05,1,TRUE,FALSE,NA,NA,habibeylmaz05,NA,NA,NA,character(0)
